股票代码,净利润增长率,总资产周转率,总资产报酬率,无风险利率,速动比率,资产负债率,营业利润率,总市值,流动负债合计,长期负债
421,0.313846,0.313846,0.0321,1.5,0.517841,0.697497,0.096728,2554005325.64,7538072942.86,366313589.08
422,0.45370299999999997,0.45370299999999997,0.0459,1.5,0.23092,0.918647,0.027770999999999997,2594834797.68,18664328552.14,3161408131.38
425,0.800037,0.800037,0.0396,1.5,1.312956,0.504644,0.0475,25302749028.9,27006797903.79,3818232941.9
426,0.26707,0.26707,0.0324,1.5,0.22841,0.427777,0.056369,9305132773.86,1949919957.4,1484151829.46
428,0.118112,0.118112,-0.0544,1.5,0.321416,0.658974,-0.4929439999999999,2526936480.0,2907298147.68,1705866873.72
429,0.19614700000000002,0.19614700000000002,0.1408,1.5,0.73905,0.383508,0.653221,16440439373.44,3022874546.82,3021062210.11
430,0.193864,0.193864,0.0161,1.5,0.654482,0.36453,0.083639,1959317600.24,299970336.77,394500000.0
488,0.273777,0.273777,0.0564,1.5,0.6707850000000001,0.7543489999999999,0.100642,14931672089.53,61414688571.73,13796752678.38
498,0.720156,0.720156,0.0486,1.5,0.715757,0.729136,0.059904999999999986,5667903658.78,15385232530.6,2535775572.83
501,0.865658,0.865658,0.0701,1.5,0.30135500000000004,0.639567,0.083915,7290051089.88,12514128593.36,2120445459.0
504,0.255208,0.255208,-0.0674,1.5,0.508987,0.685587,-0.36336799999999997,3885326545.47,226381876.26,1000000.0
506,0.19545099999999999,0.19545099999999999,0.0234,1.5,0.752397,0.559942,0.03457200000000001,2499057777.09,1303027143.28,40000000.0
507,0.410066,0.410066,0.0578,1.5,0.8283379999999999,0.5229060000000001,0.099452,5210970065.4,1895958743.53,1631980950.42
510,1.386412,1.386412,0.0828,1.5,0.791112,0.35625999999999997,0.052966,2394086258.22,503853433.13,2283576.23
513,0.531612,0.531612,0.0699,1.5,2.114639,0.326166,0.14383800000000002,18084113536.0,5369578000.87,700000.0
514,0.08387,0.08387,0.0141,1.5,0.632408,0.472779,0.080175,3079764022.25,2690360522.25,391000000.0
516,0.31042800000000004,0.31042800000000004,0.4628,1.5,2.436136,0.20942600000000003,1.496874,9756694044.9,956832328.04,570999597.0
517,0.211552,0.211552,0.0426,1.5,0.333547,0.8038890000000001,0.179198,7354860940.35,15980349295.85,3487759903.84
519,0.4916430000000001,0.4916430000000001,0.0394,1.5,2.392307,0.245685,0.084455,8827773740.76,2115270866.41,408139647.22
521,1.109666,1.109666,-0.0003,1.5,1.003343,0.66999,0.002809,2967658660.39,9963836490.17,6937208.0
523,2.016245,2.016245,0.0212,1.5,0.961673,0.73211,0.0032409999999999995,2478755843.75,5122104816.61,6507080.59
524,1.569148,1.569148,0.0698,1.5,1.841204,0.43223900000000004,0.041094,4624439319.3,1651908837.33,203000000.0
525,0.45802200000000004,0.45802200000000004,0.0774,1.5,0.6501600000000001,0.644885,0.13378900000000002,8148243408.19,8121494090.15,408196110.48
528,0.7555810000000001,0.7555810000000001,0.0497,1.5,1.05411,0.614775,0.05653200000000001,8879285690.32,12137796729.16,3017678933.02
529,1.2037930000000001,1.2037930000000001,0.0991,1.5,2.452644,0.256164,0.098915,2615380678.4,533265356.48,5286494.75
530,0.351463,0.351463,0.0249,1.5,1.1423940000000001,0.378905,0.059365999999999995,2487063561.08,1616820078.46,337532949.94
531,0.319848,0.319848,0.0527,1.5,0.54592,0.588476,0.097947,3466519069.2,5313195595.76,541036738.88
532,0.21572399999999997,0.21572399999999997,0.0631,1.5,0.42441999999999996,0.6367,0.18831900000000001,3402271315.8,1296846026.11,330780945.08
534,0.103129,0.103129,0.0298,1.5,0.78286,0.409483,0.12465799999999999,5134236402.24,798546278.67,143724320.79
536,0.225279,0.225279,-0.2127,1.5,0.623164,0.605061,-1.015507,5172481341.61,9403233759.52,2104737784.01
537,0.340941,0.340941,0.0452,1.5,0.149503,0.8593350000000001,0.125367,13950280192.8,50844480735.52,14424567851.21
